edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E02616,2026,7418000,45.1,393.0,tag,2026-03-31,S100YF98
E02618,2017,5837356,39.92,388.0,textblock,2017-02-28,S100AB5S
E02618,2018,5957811,39.75,397.0,textblock,2018-02-28,S100D11K
E02618,2019,5967468,39.42,417.0,textblock,2019-02-28,S100FUID
E02618,2020,5985951,39.0,441.0,tag,2020-02-29,S100IOXM
E02618,2021,5819030,38.0,500.0,tag,2021-02-28,S100LEQM
E02618,2022,5946739,39.0,513.0,tag,2022-02-28,S100O4SO
E02618,2023,6088546,38.0,550.0,tag,2023-02-28,S100QUC2
E02618,2024,6052745,38.0,612.0,tag,2024-02-29,S100THJI
E02618,2025,6126745,38.0,616.0,tag,2025-02-28,S100VT8H
E02618,2026,6290064,38.0,633.0,tag,2026-02-28,S100Y60M
E02625,2017,5781000,42.6,36.0,textblock,2017-03-31,S100ANF0
E02625,2018,7384000,43.8,43.0,textblock,2018-03-31,S100DDR8
E02625,2019,7000000,44.6,39.0,textblock,2019-03-31,S100G9X6
E02625,2020,7504000,43.3,44.0,textblock,2020-03-31,S100J3ED
E02625,2021,7968000,44.6,39.0,textblock,2021-03-31,S100LSQK
E02625,2022,7526000,44.4,38.0,textblock,2022-03-31,S100OHW3
E02625,2023,8128000,44.5,48.0,textblock,2023-03-31,S100R90H
E02625,2024,9519000,45.7,52.0,tag,2024-03-31,S100TU11
E02625,2025,9126000,44.7,59.0,tag,2025-03-31,S100W3ON
E02625,2026,9922000,43.8,124.0,tag,2026-03-31,S100YKBV
E02632,2019,7935427,47.1,185.0,tag,2019-03-31,S100G7HG
E02632,2020,7837112,46.2,169.0,tag,2020-03-31,S100IYG5
E02632,2021,7755229,46.7,169.0,tag,2021-03-31,S100LQHX
E02632,2022,7778865,47.7,173.0,tag,2022-03-31,S100OE94
E02632,2023,7872784,48.1,173.0,tag,2023-03-31,S100R51F
E02632,2024,8009343,47.9,183.0,tag,2024-03-31,S100TRUJ
E02632,2025,8137086,48.6,185.0,tag,2025-03-31,S100W5ET
E02632,2026,8216296,49.0,186.0,tag,2026-03-31,S100YI1C
E02635,2017,5726399,40.0,246.0,textblock,2017-03-31,S100AKTQ
E02635,2018,5839684,40.6,246.0,textblock,2018-03-31,S100DELJ
E02635,2019,5961022,40.5,238.0,tag,2019-03-31,S100G6AB
E02635,2020,6025031,40.9,267.0,tag,2020-03-31,S100IWUE
E02635,2021,6548855,41.5,269.0,tag,2021-03-31,S100LM9I
E02635,2022,6632214,42.5,279.0,tag,2022-03-31,S100OCBT
E02635,2023,6767313,42.4,288.0,tag,2023-03-31,S100R1PM
E02635,2024,7383843,42.4,289.0,tag,2024-03-31,S100TS98
E02635,2025,7234917,43.0,290.0,tag,2025-03-31,S100VYTW
E02635,2026,7406895,43.6,301.0,tag,2026-03-31,S100YFPG
E02639,2017,4867813,37.6,200.0,textblock,2017-03-31,S100AKDU
E02639,2018,4992625,38.3,198.0,textblock,2018-03-31,S100DDWQ
E02639,2019,5055467,38.3,189.0,tag,2019-03-31,S100G39W
E02639,2020,4885137,38.6,184.0,tag,2020-03-31,S100J03C
E02639,2021,4657696,38.2,157.0,tag,2021-03-31,S100LMFQ
E02639,2022,4423442,39.6,135.0,tag,2022-03-31,S100OAWM
E02639,2023,4966078,41.6,123.0,tag,2023-03-31,S100R7AR
E02639,2024,5525291,41.9,124.0,tag,2024-03-31,S100TS9F
E02639,2025,5832408,41.6,123.0,tag,2025-03-31,S100W244
E02639,2026,6099110,41.5,127.0,tag,2026-03-31,S100YDWL
E02642,2017,7056000,44.5,226.0,textblock,2017-03-31,S100AOOB
E02642,2018,7577000,44.6,231.0,textblock,2018-03-31,S100DH4K
E02642,2019,7692000,44.0,246.0,tag,2019-03-31,S100GAZE
E02642,2020,7833000,43.1,244.0,tag,2020-03-31,S100IZ35
E02642,2021,7663000,42.0,252.0,tag,2021-03-31,S100LQ2J
E02642,2022,7934000,41.1,258.0,tag,2022-03-31,S100OKWE
E02642,2023,8233000,41.0,259.0,tag,2023-03-31,S100R8LH
E02642,2024,8975000,40.9,260.0,tag,2024-03-31,S100TVUA
E02642,2025,9124000,41.0,269.0,tag,2025-03-31,S100W227
E02642,2026,9224000,41.0,282.0,tag,2026-03-31,S100YFX5
E02643,2017,8963202,41.0,510.0,textblock,2017-03-31,S100AHE2
E02643,2018,9958720,40.0,480.0,textblock,2018-03-31,S100D8BB
E02643,2019,9083186,40.0,482.0,tag,2019-03-31,S100G16B
E02643,2020,9148112,40.8,556.0,tag,2020-03-31,S100ISP7
E02643,2021,9168829,40.9,580.0,tag,2021-03-31,S100LJCT
E02643,2022,9372245,41.3,564.0,tag,2022-03-31,S100OAYI
E02643,2023,9525217,41.7,490.0,tag,2023-03-31,S100QXOD
E02643,2024,9938661,41.8,505.0,tag,2024-03-31,S100TNEQ
E02643,2025,9906586,41.0,449.0,tag,2025-03-31,S100VYGF
E02643,2026,10009720,41.3,421.0,tag,2026-03-31,S100YC4K
E02644,2017,8410996,47.0,5062.0,textblock,2016-12-31,S1009WP0
E02644,2018,8456708,47.4,5284.0,textblock,2017-12-31,S100CMPP
E02644,2019,8305721,47.8,5368.0,textblock,2018-12-31,S100FFUZ
E02644,2020,8306621,48.1,5215.0,tag,2019-12-31,S100I8KW
E02644,2021,7939922,48.3,4908.0,tag,2020-12-31,S100L0O4
E02644,2022,8668891,48.5,4787.0,tag,2021-12-31,S100NPKT
E02644,2023,8574558,48.8,4653.0,tag,2022-12-31,S100QGGJ
E02644,2024,8352637,48.8,4528.0,tag,2023-12-31,S100T53R
E02644,2025,8274236,48.7,4510.0,tag,2024-12-31,S100VG7L
E02644,2026,8494208,48.4,4563.0,tag,2025-12-31,S100XS8C
E02647,2017,7809294,41.5,88.0,textblock,2017-03-31,S100AR77
E02647,2018,7096057,42.08,86.0,textblock,2018-03-31,S100DGVG
E02647,2019,7010884,41.0,97.0,tag,2019-03-31,S100G7CL
E02647,2020,6669025,41.0,100.0,tag,2020-03-31,S100JBR6
E02647,2021,6388836,40.0,108.0,tag,2021-03-31,S100LSQG
E02647,2022,6154761,41.0,108.0,tag,2022-03-31,S100OIMF
E02647,2023,6404887,42.0,103.0,tag,2023-03-31,S100R81I
E02647,2024,6835779,44.0,121.0,tag,2024-03-31,S100TU9U
E02647,2025,7158284,44.0,108.0,tag,2025-03-31,S100W3YY
E02647,2026,7509242,44.0,103.0,tag,2026-03-31,S100YJU6
E02650,2017,5451149,45.33,214.0,textblock,2017-03-31,S100ASIA
E02650,2018,4932664,45.0,241.0,textblock,2018-03-31,S100DIWW
E02650,2019,4817028,44.0,245.0,tag,2019-03-31,S100GD9K
E02650,2020,4894717,45.0,223.0,tag,2020-03-31,S100J441
